insert into ordenes values('CA-2016-152156', '42682', '42685', 'Second Class', 'CG-12520', '42420', 'South'),
('CA-2016-152156', '42682', '42685', 'Second Class', 'CG-12520', '42420', 'South'),
('CA-2016-138688', '42533', '42537', 'Second Class', 'DV-13045', '90036', 'West'),
('US-2015-108966', '42288', '42295', 'Standard Class', 'SO-20335', '33311', 'South'),
('US-2015-108966', '42288', '42295', 'Standard Class', 'SO-20335', '33311', 'South'),
('CA-2014-115812', '41799', '41804', 'Standard Class', 'BH-11710', '90032', 'West'),
('CA-2014-115812', '41799', '41804', 'Standard Class', 'BH-11710', '90032', 'West'),
('CA-2014-115812', '41799', '41804', 'Standard Class', 'BH-11710', '90032', 'West'),
('CA-2014-115812', '41799', '41804', 'Standard Class', 'BH-11710', '90032', 'West'),
('CA-2014-115812', '41799', '41804', 'Standard Class', 'BH-11710', '90032', 'West'),
('CA-2014-115812', '41799', '41804', 'Standard Class', 'BH-11710', '90032', 'West'),
('CA-2014-115812', '41799', '41804', 'Standard Class', 'BH-11710', '90032', 'West'),
('CA-2017-114412', '42840', '42845', 'Standard Class', 'AA-10480', '28027', 'South'),
('CA-2016-161389', '42709', '42714', 'Standard Class', 'IM-15070', '98103', 'West'),
('US-2015-118983', '42330', '42334', 'Standard Class', 'HP-14815', '76106', 'Central'),
('US-2015-118983', '42330', '42334', 'Standard Class', 'HP-14815', '76106', 'Central'),
('CA-2014-105893', '41954', '41961', 'Standard Class', 'PK-19075', '53711', 'Central'),
('CA-2014-167164', '41772', '41774', 'Second Class', 'AG-10270', '84084', 'West'),
('CA-2014-143336', '41878', '41883', 'Second Class', 'ZD-21925', '94109', 'West'),
('CA-2014-143336', '41878', '41883', 'Second Class', 'ZD-21925', '94109', 'West'),
('CA-2014-143336', '41878', '41883', 'Second Class', 'ZD-21925', '94109', 'West'),
('CA-2016-137330', '42713', '42717', 'Standard Class', 'KB-16585', '68025', 'Central'),
('CA-2016-137330', '42713', '42717', 'Standard Class', 'KB-16585', '68025', 'Central'),
('US-2017-156909', '42932', '42934', 'Second Class', 'SF-20065', '19140', 'East'),
('CA-2015-106320', '42272', '42277', 'Standard Class', 'EB-13870', '84057', 'West'),
